TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
org.ow2.proactive.catalog.service.exception.RevisionNotFoundException,60,62087,3,3,0.8333333333333334,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.exception.ResourceNotFoundException,60,5176,1,1,1.0,1.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.OwnerGroupStringHelper,60,62420,15,6,1.0,1.0,0.6666666666666666,0.9090909090909091,2,0.45454545454545453
org.ow2.proactive.catalog.service.RestApiAccessService,60,76282,187,16,0.7142857142857143,0.6818181818181818,0.2,0.7321428571428571,4,0.21428571428571427
org.ow2.proactive.catalog.service.AbstractService,60,70095,0,0,0.0,0.0,1.0,1.0,0,1.0
org.ow2.proactive.catalog.service.BucketService,60,73218,166,24,0.864406779661017,0.8205128205128205,0.4,0.8289473684210527,8,0.2631578947368421
org.ow2.proactive.catalog.service.KeyValueLabelMetadataHelper,60,63420,98,20,1.0,0.9473684210526315,0.5714285714285714,1.0,7,0.5714285714285714
org.ow2.proactive.catalog.service.GenericInformationAdder,60,61666,19,4,1.0,1.0,1.0,0.7142857142857143,1,0.7142857142857143
org.ow2.proactive.catalog.service.CatalogObjectService,60,70584,1,1,0.010309278350515464,0.014084507042253521,0.0,0.0,0,0.0
org.ow2.proactive.catalog.service.model.GenericInfoBucketData,60,62696,57,22,1.0,0.9714285714285714,0.8,0.9908256880733946,1,0.4144144144144144
org.ow2.proactive.catalog.service.model.AuthenticatedUser,60,68975,88,25,1.0,0.9714285714285714,0.7777777777777778,0.9908256880733946,2,0.41284403669724773
org.ow2.proactive.catalog.service.model.RestApiAccessResponse,60,63096,56,17,1.0,0.9655172413793104,0.7692307692307693,0.99,0,0.2912621359223301
org.ow2.proactive.catalog.Application,60,82046,23,10,0.75,0.6923076923076923,0.3333333333333333,0.6410256410256411,3,0.20512820512820512
org.ow2.proactive.catalog.dto.BucketMetadataTest,60,61537,1,1,0.02631578947368421,0.09090909090909091,1.0,0.0,0,0.0
org.ow2.proactive.catalog.dto.CatalogObjectMetadataTest,60,62186,1,1,0.0625,0.2,1.0,0.0,0,0.0
org.ow2.proactive.catalog.rest.controller.CatalogObjectCallGraphControllerTest,60,63048,1,1,0.017857142857142856,0.25,1.0,0.0,0,0.0
org.ow2.proactive.catalog.rest.controller.CatalogObjectRevisionControllerTest,60,69992,1,1,0.05555555555555555,0.3333333333333333,1.0,0.0,0,0.0
org.ow2.proactive.catalog.rest.controller.BucketControllerTest,60,69611,1,1,0.0625,0.16666666666666666,1.0,0.0,0,0.0
org.ow2.proactive.catalog.rest.controller.CatalogObjectControllerTest,60,69610,1,1,0.015625,0.16666666666666666,1.0,0.0,0,0.0
org.ow2.proactive.catalog.rest.controller.CatalogObjectReportControllerTest,60,62971,1,1,0.019230769230769232,0.25,1.0,0.0,0,0.0
org.ow2.proactive.catalog.rest.controller.SwaggerControllerTest,60,61443,1,1,0.25,0.5,1.0,1.0,0,1.0
org.ow2.proactive.catalog.graphql.handler.catalogobject.CatalogObjectAndOrGroupFilterHandlerTest,60,69558,1,1,0.016129032258064516,0.3333333333333333,1.0,0.0,0,0.0
org.ow2.proactive.catalog.callgraph.GraphNodeTest,60,61481,1,1,0.025,0.25,1.0,0.0,0,0.0
